00000126, BMU_checkFailed, BSPD_FAILED
00000126, BMU_InterlockInitialized, 0
00000128, VoltageCellMuxSelect, 6
00000128, VoltageCell19, 3.4124000000000003
00000128, VoltageCell20, 3.4145000000000003
00000128, VoltageCell21, 3.1989
00000152, VCU_wheelSpeed_RL, 0.0
00000152, VCU_wheelSpeed_RR, 0.0
00000152, IVT_MsgID_RX, 0
00000152, IVT_MsgCount, 8
00000152, IVT_Result_state, 0
00000152, IVT_I, 0.004
00000152, AdjustedVoltageCellMuxSelect, 6
00000152, AdjustedVoltageCell19, 3.4124000000000003
00000152, AdjustedVoltageCell20, 3.4143000000000003
00000152, AdjustedVoltageCell21, 3.1988000000000003
00000152, RLSpeedKPH, 0.0
00000152, RRSpeedKPH, 0.0
00000152, FLSpeedKPH, 0.0
00000152, FRSpeedKPH, 0.0
00000152, TCTorqueMax, 3.392
00000152, TCLeftSlip, -0.999
00000152, TCRightSlip, -0.999
00000152, TCTorqueAdjustment, 0.0
00000152, VoltageBusHV, 0.01
00000152, VoltageCellMax, 3.5398
00000152, VoltageCellMin, 2.9658
00000152, CurrentBusHV, 0.0
00000152, AMS_PackVoltage, 457.85
00000152, IVT_MsgID_RX, 0
00000152, IVT_MsgCount, 9
00000152, IVT_Result_state, 0
00000152, IVT_I, -0.001
00000153, IVT_MsgID_RX, 1
00000153, IVT_MsgCount, 3
00000153, IVT_Result_state, 0
00000153, IVT_U1, -0.033
00000153, IVT_MsgID_RX, 2
00000153, IVT_MsgCount, 3
00000153, IVT_Result_state, 0
00000153, IVT_U2, 0.018000000000000002
00000153, IVT_MsgID_RX, 3
00000153, IVT_MsgCount, 3
00000153, IVT_Result_state, 0
00000153, IVT_U3, 0.031
00000153, IVT_MsgID_RX, 7
00000153, IVT_MsgCount, 6
00000153, IVT_Result_state, 0
00000153, IVT_Wh, 0
00000155, StateBatteryChargeHV, 16.7
00000155, StateBatteryHealthHV, 0.0
00000155, StateBatteryPowerHV, 331.90000000000003
00000155, TempCellMax, 156.0
00000155, TempCellMin, 55.0
00000155, StateBMS, Wait_System_Up
00000155, HighestTempThermistor, 0
00000155, TempChannelMuxSelect, 6
00000155, TempChannel19, 0.0
00000155, TempChannel20, 0.0
00000155, TempChannel21, 0.0
00000155, VCU_wheelSpeed_RL, 0.0
00000155, VCU_wheelSpeed_RR, 0.0
00000155, RLSpeedKPH, 0.0
00000155, RRSpeedKPH, 0.0
00000155, FLSpeedKPH, 0.0
00000155, FRSpeedKPH, 0.0
00000155, TCTorqueMax, 3.392
00000155, TCLeftSlip, -0.999
00000155, TCRightSlip, -0.999
00000155, TCTorqueAdjustment, 0.0
00000155, IVT_MsgID_RX, 0
00000155, IVT_MsgCount, 10
00000155, IVT_Result_state, 0
00000155, IVT_I, 0.002
00000184, VoltageCellMuxSelect, 7
00000184, VoltageCell22, 3.1772
00000184, VoltageCell23, 3.1785
00000184, VoltageCell24, 3.1849000000000003
00000184, IVT_MsgID_RX, 7
00000184, IVT_MsgCount, 7
00000184, IVT_Result_state, 0
00000184, IVT_Wh, 0
00000184, AdjustedVoltageCellMuxSelect, 7
00000184, AdjustedVoltageCell22, 3.1771000000000003
00000184, AdjustedVoltageCell23, 3.1785
00000184, AdjustedVoltageCell24, 3.1849000000000003
00000184, TempChannelMuxSelect, 7
00000184, TempChannel22, 0.0
00000184, TempChannel23, 0.0
00000184, TempChannel24, 0.0
00000184, IVT_MsgID_RX, 0
00000184, IVT_MsgCount, 11
00000184, IVT_Result_state, 0
00000184, IVT_I, -0.001
00000184, ChannelCurrentRadiator, 0.214
00000184, ChannelCurrentAccFan, 0.228
00000184, ChannelCurrentPump1, 0.0
00000184, ChannelCurrentPump2, 0.214
00000184, ChannelCurrentAUX1, 0.0
00000184, ChannelCurrentAUX2, 0.214
00000184, ChannelCurrentAUX3, 0.0
00000184, ChannelCurrentAUX4, 0.201
00000184, ChannelCurrentBMU, 0.496
00000184, ChannelCurrentCDU, 0.375
00000184, ChannelCurrentTCU, 0.375
00000184, ChannelCurrentWSB, 0.362
00000185, ChannelCurrentBrakeLight, 0.0
00000185, ChannelCurrentInverter, 0.0
00000186, VCU_wheelSpeed_RL, 0.0
00000186, VCU_wheelSpeed_RR, 0.0
00000186, RLSpeedKPH, 0.0
00000186, RRSpeedKPH, 0.0
00000186, FLSpeedKPH, 0.0
00000186, FRSpeedKPH, 0.0
00000186, TCTorqueMax, 3.392
00000186, TCLeftSlip, -0.999
00000186, TCRightSlip, -0.999
00000186, TCTorqueAdjustment, 0.0
00000186, IVT_MsgID_RX, 0
00000186, IVT_MsgCount, 12
00000186, IVT_Result_state, 0
00000186, IVT_I, 0.002
00000187, IVT_MsgID_RX, 1
00000187, IVT_MsgCount, 4
00000187, IVT_Result_state, 0
00000187, IVT_U1, -0.035
00000187, IVT_MsgID_RX, 2
00000187, IVT_MsgCount, 4
00000187, IVT_Result_state, 0
00000187, IVT_U2, -0.004
00000187, IVT_MsgID_RX, 3
00000187, IVT_MsgCount, 4
00000187, IVT_Result_state, 0
00000187, IVT_U3, 0.08700000000000001
00000187, IVT_MsgID_RX, 7
00000187, IVT_MsgCount, 8
00000187, IVT_Result_state, 0
00000187, IVT_Wh, 0
000001B6, IVT_MsgID_RX, 0
000001B6, IVT_MsgCount, 13
000001B6, IVT_Result_state, 0
000001B6, IVT_I, 0.002
000001B6, BMU_checkFailed, BSPD_FAILED
000001B6, BMU_InterlockInitialized, 0
000001B6, VoltageCellMuxSelect, 8
000001B6, VoltageCell25, 2.9797000000000002
000001B6, VoltageCell26, 3.1764
000001B6, VoltageCell27, 3.2243
000001B6, AdjustedVoltageCellMuxSelect, 8
000001B6, AdjustedVoltageCell25, 2.9797000000000002
000001B6, AdjustedVoltageCell26, 3.1763000000000003
000001B6, AdjustedVoltageCell27, 3.2242
000001B6, VCU_wheelSpeed_RL, 0.0
000001B6, VCU_wheelSpeed_RR, 0.0
000001B8, TempChannelMuxSelect, 8
000001B8, TempChannel25, 0.0
000001B8, TempChannel26, 0.0
000001B8, TempChannel27, 0.0
000001B8, RLSpeedKPH, 0.0
000001B8, RRSpeedKPH, 0.0
000001B8, FLSpeedKPH, 0.0
000001B8, FRSpeedKPH, 0.0
000001B8, VoltageBusHV, 0.0
000001B8, VoltageCellMax, 3.5396
000001B8, VoltageCellMin, 2.9658
000001B8, CurrentBusHV, 0.0
000001B8, IVT_MsgID_RX, 7
000001B8, IVT_MsgCount, 9
000001B8, IVT_Result_state, 0
000001B8, IVT_Wh, 0
000001B8, TCTorqueMax, 3.392
000001B8, TCLeftSlip, -0.999
000001B8, TCRightSlip, -0.999
000001B8, TCTorqueAdjustment, 0.0
000001B8, AMS_PackVoltage, 457.85
000001B8, IVT_MsgID_RX, 0
000001B8, IVT_MsgCount, 14
000001B8, IVT_Result_state, 0
000001B8, IVT_I, 0.0
000001B9, IVT_MsgID_RX, 0
000001B9, IVT_MsgCount, 15
000001B9, IVT_Result_state, 0
000001B9, IVT_I, 0.006
000001B9, IVT_MsgID_RX, 1
000001B9, IVT_MsgCount, 5
000001B9, IVT_Result_state, 0
000001B9, IVT_U1, -0.064
000001B9, IVT_MsgID_RX, 2
000001B9, IVT_MsgCount, 5
000001B9, IVT_Result_state, 0
000001B9, IVT_U2, -0.018000000000000002
000001B9, IVT_MsgID_RX, 3
000001B9, IVT_MsgCount, 5
000001B9, IVT_Result_state, 0
000001B9, IVT_U3, 0.041
000001B9, IVT_MsgID_RX, 7
000001B9, IVT_MsgCount, 10
000001B9, IVT_Result_state, 0
000001B9, IVT_Wh, 0
000001B9, VCU_wheelSpeed_RL, 0.0
000001B9, VCU_wheelSpeed_RR, 0.0
000001B9, RLSpeedKPH, 0.0
000001B9, RRSpeedKPH, 0.0
000001B9, FLSpeedKPH, 0.0
000001B9, FRSpeedKPH, 0.0
000001E8, TCTorqueMax, 3.392
000001E8, TCLeftSlip, -0.999
000001E8, TCRightSlip, -0.999
000001E8, TCTorqueAdjustment, 0.0
000001E9, StateBatteryChargeHV, 16.7
000001E9, StateBatteryHealthHV, 0.0
000001E9, StateBatteryPowerHV, 331.90000000000003
000001E9, TempCellMax, 156.0
000001E9, TempCellMin, 55.0
000001E9, StateBMS, Wait_System_Up
000001E9, HighestTempThermistor, 0
000001E9, VoltageCellMuxSelect, 9
000001E9, VoltageCell28, 3.442
000001E9, VoltageCell29, 3.4176
000001E9, VoltageCell30, 3.4200000000000004
000001E9, AdjustedVoltageCellMuxSelect, 9
000001E9, AdjustedVoltageCell28, 3.4427000000000003
000001E9, AdjustedVoltageCell29, 3.4176
000001E9, AdjustedVoltageCell30, 3.4200000000000004
000001EA, TempChannelMuxSelect, 9
000001EA, TempChannel28, 24.11
000001EA, TempChannel29, 24.120000000000005
000001EA, TempChannel30, 23.89
000001EA, IVT_MsgID_RX, 0
000001EA, IVT_MsgCount, 0
000001EA, IVT_Result_state, 0
000001EA, IVT_I, -0.004
000001EA, ChannelCurrentRadiator, 0.214
000001EA, ChannelCurrentAccFan, 0.214
000001EA, ChannelCurrentPump1, 0.0
000001EA, ChannelCurrentPump2, 0.187
000001EA, ChannelCurrentAUX1, 0.0
000001EA, ChannelCurrentAUX2, 0.214
000001EA, ChannelCurrentAUX3, 0.0
000001EA, ChannelCurrentAUX4, 0.214
000001EA, ChannelCurrentBMU, 0.537
000001EA, ChannelCurrentCDU, 0.335
000001EA, ChannelCurrentTCU, 0.362
000001EA, ChannelCurrentWSB, 0.389
000001EA, ChannelCurrentBrakeLight, 0.0
000001EA, ChannelCurrentInverter, 0.0
000001EA, IVT_MsgID_RX, 7
000001EA, IVT_MsgCount, 11
000001EA, IVT_Result_state, 0
000001EA, IVT_Wh, 0
000001EA, VCU_wheelSpeed_RL, 0.0
000001EA, VCU_wheelSpeed_RR, 0.0
000001EA, RLSpeedKPH, 0.0
000001EA, RRSpeedKPH, 0.0
000001EA, FLSpeedKPH, 0.0
000001EA, FRSpeedKPH, 0.0
000001EB, IVT_MsgID_RX, 0
000001EB, IVT_MsgCount, 1
000001EB, IVT_Result_state, 0
000001EB, IVT_I, 0.003
000001EB, TCTorqueMax, 3.392
000001EB, TCLeftSlip, -0.999
000001EB, TCRightSlip, -0.999
000001EB, TCTorqueAdjustment, 0.0
0000021A, IVT_MsgID_RX, 0
0000021A, IVT_MsgCount, 2
0000021A, IVT_Result_state, 0
0000021A, IVT_I, 0.0
0000021B, IVT_MsgID_RX, 1
0000021B, IVT_MsgCount, 6
0000021B, IVT_Result_state, 0
0000021B, IVT_U1, -0.018000000000000002
0000021B, BMU_checkFailed, BSPD_FAILED
0000021B, BMU_InterlockInitialized, 0
0000021B, IVT_MsgID_RX, 2
0000021B, IVT_MsgCount, 6
