0.208, BMU_checkFailed, BSPD_FAILED
0.208, BMU_InterlockInitialized, 0
0.21, VoltageCellMuxSelect, 4
0.21, VoltageCell13, 3.5
0.21, VoltageCell14, 3.5
0.21, VoltageCell15, 3.5
0.241, RLSpeedKPH, 0.0
0.241, RLSpeedRPM, 0.0
0.241, RearBrakePressure, 6
0.241, BrakeTempFront, -31.180000000000007
0.241, BrakeTempFrontAccuracy, 1
0.241, IVT_MsgID_RX, 0
0.241, IVT_MsgCount, 3
0.241, IVT_Result_state, 0
0.241, IVT_I, 0.006
0.241, IVT_MsgID_RX, 1
0.241, IVT_MsgCount, 1
0.241, IVT_Result_state, 0
0.241, IVT_U1, -0.02
0.241, VoltageBusHV, 0.0
0.241, VoltageCellMax, 0.0
0.241, VoltageCellMin, 0.0
0.241, CurrentBusHV, 0.0
0.241, IVT_MsgID_RX, 2
0.241, IVT_MsgCount, 1
0.241, IVT_Result_state, 0
0.241, IVT_U2, 0.027
0.241, IVT_MsgID_RX, 3
0.241, IVT_MsgCount, 1
0.241, IVT_Result_state, 0
0.241, IVT_U3, 0.068
0.241, IVT_MsgID_RX, 5
0.241, IVT_MsgCount, 3
0.241, IVT_Result_state, 0
0.241, IVT_W, 0
0.241, IVT_MsgID_RX, 7
0.241, IVT_MsgCount, 2
0.241, IVT_Result_state, 0
0.241, IVT_Wh, 0
0.241, AMS_PackVoltage, 0.0
0.241, AdjustedVoltageCellMuxSelect, 4
0.241, AdjustedVoltageCell13, 0.0
0.241, AdjustedVoltageCell14, 0.0
0.241, AdjustedVoltageCell15, 0.0
0.241, RRSpeedKPH, 0.0
0.241, RRSpeedRPM, 0
0.242, VCU_wheelSpeed_RL, 0.0
0.242, VCU_wheelSpeed_RR, 0.0
0.242, TempChannelMuxSelect, 4
0.242, TempChannel13, 0.0
0.242, TempChannel14, 0.0
0.242, TempChannel15, 0.0
0.242, RLSpeedKPH, 0.0
0.242, RRSpeedKPH, 0.0
0.242, FLSpeedKPH, 0.0
0.242, FRSpeedKPH, 0.0
0.243, TCTorqueMax, 5.0
0.243, TCLeftSlip, -0.999
0.243, TCRightSlip, -0.999
0.243, TCTorqueAdjustment, 0.0
0.243, IVT_MsgID_RX, 0
0.243, IVT_MsgCount, 4
0.243, IVT_Result_state, 0
0.243, IVT_I, -0.004
0.243, IVT_MsgID_RX, 5
0.243, IVT_MsgCount, 4
