000003B0, DCU_Heartbeat_dummydata, 0
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000431, AdjustedVoltageCellMuxSelect, 22
00000431, AdjustedVoltageCell67, 3.7069
00000431, AdjustedVoltageCell68, 3.7842000000000002
00000431, AdjustedVoltageCell69, 3.7726
00000796, DCU_Heartbeat_dummydata, 0
00000796, DCU_Heartbeat_dummydata, 0
00000796, DCU_Heartbeat_dummydata, 0
00000796, DCU_Heartbeat_dummydata, 0
00000980, DTC_CODE, 38
00000980, DTC_Severity, 1
00000980, DTC_Data, 0
00000980, DTC_CODE, 53
00000980, DTC_Severity, 4
00000980, DTC_Data, 220
00000980, DTC_CODE, 25
00000980, DTC_Severity, 1
00000980, DTC_Data, 0
00000982, DTC_CODE, 63
00000982, DTC_Severity, 4
00000982, DTC_Data, 0
0000098F, DTC_CODE, 41
0000098F, DTC_Severity, 4
0000098F, DTC_Data, 2
0000098F, DTC_CODE, 41
0000098F, DTC_Severity, 4
0000098F, DTC_Data, 2
000009A6, DTC_CODE, 38
000009A6, DTC_Severity, 1
000009A6, DTC_Data, 0
000009A7, DTC_CODE, 53
000009A7, DTC_Severity, 4
000009A7, DTC_Data, 220
000009A7, DTC_CODE, 24
000009A7, DTC_Severity, 1
000009A7, DTC_Data, 0
000009A8, DTC_CODE, 41
000009A8, DTC_Severity, 4
000009A8, DTC_Data, 2
000009D8, VoltageCellMuxSelect, 4
000009D8, VoltageCell13, 3.7094
000009D8, VoltageCell14, 3.709
000009D8, VoltageCell15, 3.7089000000000003
00000980, DTC_CODE, 38
00000980, DTC_Severity, 1
00000980, DTC_Data, 0
00000980, DTC_CODE, 53
00000980, DTC_Severity, 4
00000980, DTC_Data, 220
00000980, DTC_CODE, 25
00000980, DTC_Severity, 1
00000980, DTC_Data, 0
00000982, DTC_CODE, 63
00000982, DTC_Severity, 4
00000982, DTC_Data, 0
0000098F, DTC_CODE, 41
0000098F, DTC_Severity, 4
0000098F, DTC_Data, 2
0000098F, DTC_CODE, 41
0000098F, DTC_Severity, 4
0000098F, DTC_Data, 2
000009A6, DTC_CODE, 38
000009A6, DTC_Severity, 1
000009A6, DTC_Data, 0
000009A7, DTC_CODE, 53
000009A7, DTC_Severity, 4
000009A7, DTC_Data, 220
000009A7, DTC_CODE, 24
000009A7, DTC_Severity, 1
000009A7, DTC_Data, 0
000009A8, DTC_CODE, 41
000009A8, DTC_Severity, 4
000009A8, DTC_Data, 2
000009D8, VoltageCellMuxSelect, 4
000009D8, VoltageCell13, 3.7094
000009D8, VoltageCell14, 3.709
000009D8, VoltageCell15, 3.7089000000000003
00000980, DTC_CODE, 38
00000980, DTC_Severity, 1
00000980, DTC_Data, 0
00000980, DTC_CODE, 53
00000980, DTC_Severity, 4
00000980, DTC_Data, 220
00000980, DTC_CODE, 25
00000980, DTC_Severity, 1
00000980, DTC_Data, 0
00000982, DTC_CODE, 63
00000982, DTC_Severity, 4
00000982, DTC_Data, 0
0000098F, DTC_CODE, 41
0000098F, DTC_Severity, 4
0000098F, DTC_Data, 2
0000098F, DTC_CODE, 41
0000098F, DTC_Severity, 4
0000098F, DTC_Data, 2
000009A6, DTC_CODE, 38
000009A6, DTC_Severity, 1
000009A6, DTC_Data, 0
000009A7, DTC_CODE, 53
000009A7, DTC_Severity, 4
000009A7, DTC_Data, 220
000009A7, DTC_CODE, 24
000009A7, DTC_Severity, 1
000009A7, DTC_Data, 0
000009A8, DTC_CODE, 41
000009A8, DTC_Severity, 4
000009A8, DTC_Data, 2
000009D8, VoltageCellMuxSelect, 4
000009D8, VoltageCell13, 3.7094
000009D8, VoltageCell14, 3.709
000009D8, VoltageCell15, 3.7089000000000003
00000B74, DCU_Heartbeat_dummydata, 0
00000B74, DCU_Heartbeat_dummydata, 0
00000B74, DCU_Heartbeat_dummydata, 0
00000B74, DCU_Heartbeat_dummydata, 0
00000D5F, AdjustedVoltageCellMuxSelect, 22
00000D5F, AdjustedVoltageCell67, 3.7072000000000003
00000D5F, AdjustedVoltageCell68, 3.7839
00000D5F, AdjustedVoltageCell69, 3.7726
00000D5F, AdjustedVoltageCellMuxSelect, 22
00000D5F, AdjustedVoltageCell67, 3.7072000000000003
00000D5F, AdjustedVoltageCell68, 3.7839
00000D5F, AdjustedVoltageCell69, 3.7726
00000D5F, AdjustedVoltageCellMuxSelect, 22
00000D5F, AdjustedVoltageCell67, 3.7072000000000003
00000D5F, AdjustedVoltageCell68, 3.7839
00000D5F, AdjustedVoltageCell69, 3.7726
00000D5F, AdjustedVoltageCellMuxSelect, 22
00000D5F, AdjustedVoltageCell67, 3.7072000000000003
00000D5F, AdjustedVoltageCell68, 3.7839
00000D5F, AdjustedVoltageCell69, 3.7726
00000F5F, DCU_Heartbeat_dummydata, 0
00000F82, BMU_Heartbeat_dummydata, 0
0000104A, VoltageCellMuxSelect, 37
0000104A, VoltageCell112, 3.7084
0000104A, VoltageCell113, 3.7086
0000104A, VoltageCell114, 3.7089000000000003
0000104A, VoltageCellMuxSelect, 37
0000104A, VoltageCell112, 3.7084
0000104A, VoltageCell113, 3.7086
0000104A, VoltageCell114, 3.7089000000000003
0000104A, VoltageCellMuxSelect, 37
0000104A, VoltageCell112, 3.7084
0000104A, VoltageCell113, 3.7086
0000104A, VoltageCell114, 3.7089000000000003
0000104A, VoltageCellMuxSelect, 37
0000104A, VoltageCell112, 3.7084
0000104A, VoltageCell113, 3.7086
0000104A, VoltageCell114, 3.7089000000000003
0000123E, VoltageCellMuxSelect, 0
0000123E, VoltageCell01, 3.7066000000000003
0000123E, VoltageCell02, 3.7089000000000003
0000123E, VoltageCell03, 3.7091000000000003
000012D8, AdjustedVoltageCellMuxSelect, 3
000012D8, AdjustedVoltageCell10, 3.774
000012D8, AdjustedVoltageCell11, 3.7063
000012D8, AdjustedVoltageCell12, 3.7093000000000003
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
00001349, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
0000172D, DCU_Heartbeat_dummydata, 0
00001B20, DCU_Heartbeat_dummydata, 0
00001BDB, AMS_PackVoltage, 523.97
00001BDB, AMS_PackVoltage, 523.97
00001BDB, AMS_PackVoltage, 523.97
00001BDB, AMS_PackVoltage, 523.97
00001BDB, AMS_PackVoltage, 523.97
00001BDB, AMS_PackVoltage, 523.97
00001BDB, AMS_PackVoltage, 523.97
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
00001EFF, DCU_Heartbeat_dummydata, 0
00001F23, BMU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
000022E4, DCU_Heartbeat_dummydata, 0
00002650, VoltageBusHV, 0.0
00002650, VoltageCellMax, 3.9092000000000002
00002650, VoltageCellMin, 3.6997
00002650, CurrentBusHV, 0.0
00002652, AMS_PackVoltage, 523.97
000026E7, DCU_Heartbeat_dummydata, 0
000026E7, DCU_Heartbeat_dummydata, 0
000026E7, DCU_Heartbeat_dummydata, 0
00002857, TempChannelMuxSelect, 19
00002857, TempChannel58, 20.480000000000004
00002857, TempChannel59, 20.480000000000004
00002857, TempChannel60, 20.480000000000004
00002857, TempChannelMuxSelect, 19
00002857, TempChannel58, 20.480000000000004
00002857, TempChannel59, 20.480000000000004
00002857, TempChannel60, 20.480000000000004
00002857, TempChannelMuxSelect, 19
00002857, TempChannel58, 20.480000000000004
00002857, TempChannel59, 20.480000000000004
00002857, TempChannel60, 20.480000000000004
00002857, TempChannelMuxSelect, 19
00002857, TempChannel58, 20.480000000000004
00002857, TempChannel59, 20.480000000000004
00002857, TempChannel60, 20.480000000000004
00002857, TempChannelMuxSelect, 19
00002857, TempChannel58, 20.480000000000004
00002857, TempChannel59, 20.480000000000004
00002857, TempChannel60, 20.480000000000004
00002AB9, DCU_Heartbeat_dummydata, 0
00002B10, AdjustedVoltageCellMuxSelect, 33
00002B10, AdjustedVoltageCell100, 3.7724
00002B10, AdjustedVoltageCell101, 3.7091000000000003
00002B10, AdjustedVoltageCell102, 3.7092
00002AB9, DCU_Heartbeat_dummydata, 0
00002B10, AdjustedVoltageCellMuxSelect, 33
00002B10, AdjustedVoltageCell100, 3.7724
00002B10, AdjustedVoltageCell101, 3.7091000000000003
00002B10, AdjustedVoltageCell102, 3.7092
00002AB9, DCU_Heartbeat_dummydata, 0
00002B10, AdjustedVoltageCellMuxSelect, 33
00002B10, AdjustedVoltageCell100, 3.7724
00002B10, AdjustedVoltageCell101, 3.7091000000000003
00002B10, AdjustedVoltageCell102, 3.7092
00002AB9, DCU_Heartbeat_dummydata, 0
00002B10, AdjustedVoltageCellMuxSelect, 33
00002B10, AdjustedVoltageCell100, 3.7724
00002B10, AdjustedVoltageCell101, 3.7091000000000003
00002B10, AdjustedVoltageCell102, 3.7092
00002AB9, DCU_Heartbeat_dummydata, 0
00002B10, AdjustedVoltageCellMuxSelect, 33
00002B10, AdjustedVoltageCell100, 3.7724
00002B10, AdjustedVoltageCell101, 3.7091000000000003
00002B10, AdjustedVoltageCell102, 3.7092
00002AB9, DCU_Heartbeat_dummydata, 0
00002B10, AdjustedVoltageCellMuxSelect, 33
00002B10, AdjustedVoltageCell100, 3.7724
00002B10, AdjustedVoltageCell101, 3.7091000000000003
00002B10, AdjustedVoltageCell102, 3.7092
00002DC9, VoltageCellMuxSelect, 0
00002DC9, VoltageCell01, 3.7072000000000003
00002DC9, VoltageCell02, 3.709
00002DC9, VoltageCell03, 3.709
00002DC9, VoltageCellMuxSelect, 0
00002DC9, VoltageCell01, 3.7072000000000003
00002DC9, VoltageCell02, 3.709
00002DC9, VoltageCell03, 3.709
00002E9D, DCU_Heartbeat_dummydata, 0
00002E9D, DCU_Heartbeat_dummydata, 0
00002E9D, DCU_Heartbeat_dummydata, 0
00002E9D, DCU_Heartbeat_dummydata, 0
00002E9D, DCU_Heartbeat_dummydata, 0
00002E9D, DCU_Heartbeat_dummydata, 0
00002E9D, DCU_Heartbeat_dummydata, 0
00002E9D, DCU_Heartbeat_dummydata, 0
00003200, AMS_PackVoltage, 523.96
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
00003288, DCU_Heartbeat_dummydata, 0
000032AF, TempChannelMuxSelect, 25
000032AF, TempChannel76, 20.430000000000007
000032AF, TempChannel77, 20.409999999999997
000032AF, TempChannel78, 20.5
0000366D, DCU_Heartbeat_dummydata, 0
0000366D, DCU_Heartbeat_dummydata, 0
0000366D, DCU_Heartbeat_dummydata, 0
0000366D, DCU_Heartbeat_dummydata, 0
0000366D, DCU_Heartbeat_dummydata, 0
0000366D, DCU_Heartbeat_dummydata, 0
0000393F, AMS_PackVoltage, 523.96
0000393F, AMS_PackVoltage, 523.96
00003A56, DCU_Heartbeat_dummydata, 0
00003A56, DCU_Heartbeat_dummydata, 0
00003A56, DCU_Heartbeat_dummydata, 0
00003A56, DCU_Heartbeat_dummydata, 0
00003C10, AMS_PackVoltage, 523.96
00003C10, AMS_PackVoltage, 523.96
00003C10, AMS_PackVoltage, 523.96
00003C10, AMS_PackVoltage, 523.96
00003C10, AMS_PackVoltage, 523.96
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00003E3D, DCU_Heartbeat_dummydata, 0
00004227, DCU_Heartbeat_dummydata, 0
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
000042E1, VoltageCellMuxSelect, 14
000042E1, VoltageCell43, 3.8003
000042E1, VoltageCell44, 3.798
000042E1, VoltageCell45, 3.8008
00004614, DCU_Heartbeat_dummydata, 0
00004614, DCU_Heartbeat_dummydata, 0
